2025-03-11 05:44:48.350 | INFO     | app.main:lifespan:21 - Database successfully started!
2025-03-11 05:47:50.893 | ERROR    | app.main:lifespan:23 - Shutting down...
2025-03-11 05:47:53.840 | INFO     | app.main:lifespan:21 - Database successfully started!
2025-03-11 05:48:41.761 | ERROR    | app.main:lifespan:23 - Shutting down...
2025-03-11 05:48:43.929 | INFO     | app.main:lifespan:21 - Database successfully started!
2025-03-11 05:49:30.140 | ERROR    | app.main:lifespan:23 - Shutting down...
2025-03-11 05:53:58.773 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:14:09.502 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:15:03.457 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:15:55.038 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:18:17.203 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:19:53.360 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:20:44.371 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:22:21.338 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:23:13.548 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:24:03.387 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:24:54.193 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:25:40.400 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:26:28.907 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:28:11.237 | WARNING  | app.core.exceptions:http_exception_handler:16 - HTTP Exception: Service not found, Path: http://localhost:8000/api/v1/services/10
2025-03-11 06:29:32.827 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:31:05.268 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:31:55.238 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:33:25.762 | ERROR    | app.main:lifespan:22 - Shutting down...
2025-03-11 06:41:03.310 | ERROR    | app.core.dependencies:validate_roles:33 - User: 3 with role employee does not have permission to perform this action. Path: http://localhost:8000/api/v1/services/
2025-03-11 06:41:03.311 | WARNING  | app.core.exceptions:http_exception_handler:16 - HTTP Exception: You do not have permission to perform this action, Path: http://localhost:8000/api/v1/services/
2025-03-11 06:42:13.217 | ERROR    | app.core.dependencies:validate_roles:33 - User id: '3' with role 'employee' does not have permission to perform this action. Path: http://localhost:8000/api/v1/services/
2025-03-11 06:42:13.217 | WARNING  | app.core.exceptions:http_exception_handler:16 - HTTP Exception: You do not have permission to perform this action, Path: http://localhost:8000/api/v1/services/
